Run_name,sample_name,type,class,PCR_type,Ct,Ct_mean,Ct_SD,Quantity,Quantity_mean,Quantity_SD
20140426_16S_ATR_data.tmp,,16S,STANDARD,SYBR,27.72450638,27.68950462,0.030791769,100,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,IT-3220-S0,16S,UNKNOWN,SYBR,19.31300354,19.3326931,0.033588711,15834.21777,15631.81738,345.2003784
,,,,,,,,,,
20140426_16S_ATR_data.tmp,IT-3220-S2,16S,UNKNOWN,SYBR,13.7559166,13.75130749,0.012674488,626167,628095.0625,5278.523438
,,,,,,,,,,
20140426_16S_ATR_data.tmp,SE-019-S3,16S,UNKNOWN,SYBR,23.55994987,24.01341438,0.794361174,952.871582,765.6467285,329.9427795
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,16S,STANDARD,SYBR,9.576525688,9.554917336,0.022074848,10000000,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,16S,STANDARD,SYBR,19.6336422,19.61965942,0.03078966,10000,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,IT-3220-S0,16S,UNKNOWN,SYBR,19.31359673,19.3326931,0.033588711,15828.00391,15631.81738,345.2003784
,,,,,,,,,,
20140426_16S_ATR_data.tmp,SE-019-S1,16S,UNKNOWN,SYBR,19.42286682,19.43117523,0.025623241,14723.87695,14644.55078,247.3913727
,,,,,,,,,,
20140426_16S_ATR_data.tmp,SE-019-S3,16S,UNKNOWN,SYBR,23.54965019,24.01341438,0.794361174,959.3884277,765.6467285,329.9427795
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,16S,STANDARD,SYBR,12.60791588,12.59651947,0.013751559,1000000,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,16S,STANDARD,SYBR,19.58435822,19.61965942,0.03078966,10000,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,IT-3220-S0,16S,UNKNOWN,SYBR,19.37147522,19.3326931,0.033588711,15233.23047,15631.81738,345.2003784
,,,,,,,,,,
20140426_16S_ATR_data.tmp,SE-019-S1,16S,UNKNOWN,SYBR,19.41073608,19.43117523,0.025623241,14842.5498,14644.55078,247.3913727
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,16S,NTC,SYBR,29.74637222,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,16S,STANDARD,SYBR,12.58124542,12.59651947,0.013751559,1000000,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,16S,STANDARD,SYBR,23.32862473,23.37412453,0.043800328,1000,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140426_16S_ATR_data.tmp,,,,,,,,,,
,,,,,,,,,,
20140506_16S_ATR_data.tmp,,16S,NTC,SYBR,30.28388786,,,,,
,,,,,,,,,,
20140506_16S_ATR_data.tmp,,16S,STANDARD,SYBR,9.340854645,9.339351654,0.002124876,10000000,,
,,,,,,,,,,
20140506_16S_ATR_data.tmp,,16S,STANDARD,SYBR,19.66290665,19.67807007,0.069974564,10000,,
,,,,,,,,,,
20140506_16S_ATR_data.tmp,,16S,STANDARD,SYBR,9.337849617,9.339351654,0.002124876,10000000,,
,,,,,,,,,,
20140506_16S_ATR_data.tmp,,16S,STANDARD,SYBR,19.61692047,19.67807007,0.069974564,10000,,
,,,,,,,,,,
20140506_16S_ATR_data.tmp,,16S,STANDARD,SYBR,13.24259377,13.29109287,0.068588093,1000000,,
,,,,,,,,,,
20140506_16S_ATR_data.tmp,,16S,STANDARD,SYBR,23.1198349,23.0632782,0.04902881,1000,,
,,,,,,,,,,
20140506_16S_ATR_data.tmp,,16S,STANDARD,SYBR,13.33959198,13.29109287,0.068588093,1000000,,
,,,,,,,,,,
20140506_16S_ATR_data.tmp,,16S,STANDARD,SYBR,23.03279114,23.0632782,0.04902881,1000,,
,,,,,,,,,,
20140506_16S_ATR_data.tmp,,16S,NTC,SYBR,31.09171867,,,,,
,,,,,,,,,,
20140506_16S_ATR_data.tmp,,16S,STANDARD,SYBR,16.19889641,16.17267036,0.023088837,100000,,
,,,,,,,,,,
20140506_16S_ATR_data.tmp,,16S,STANDARD,SYBR,23.03721046,23.0632782,0.04902881,1000,,
,,,,,,,,,,
20140506_16S_ATR_data.tmp,,16S,NTC,SYBR,30.439991,,,,,
,,,,,,,,,,
20140506_16S_ATR_data.tmp,,16S,STANDARD,SYBR,16.15540314,16.17267036,0.023088837,100000,,
,,,,,,,,,,
20140506_16S_ATR_data.tmp,,16S,STANDARD,SYBR,26.47892189,26.52440834,0.039424695,100,,
,,,,,,,,,,
20140506_16S_ATR_data.tmp,,16S,STANDARD,SYBR,7.236453533,7.299163818,0.088686071,100000000,,
,,,,,,,,,,
20140506_16S_ATR_data.tmp,,16S,STANDARD,SYBR,16.16371346,16.17267036,0.023088837,100000,,
,,,,,,,,,,
20140506_16S_ATR_data.tmp,,16S,STANDARD,SYBR,26.54560089,26.52440834,0.039424695,100,,
,,,,,,,,,,
20140506_16S_ATR_data.tmp,,16S,STANDARD,SYBR,7.36187458,7.299163818,0.088686071,100000000,,
,,,,,,,,,,
20140506_16S_ATR_data.tmp,,16S,STANDARD,SYBR,19.75438309,19.67807007,0.069974564,10000,,
,,,,,,,,,,
20140506_16S_ATR_data.tmp,,16S,STANDARD,SYBR,26.54870796,26.52440834,0.039424695,100,,
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-3502-S0,16S,UNKNOWN,SYBR,17.49421883,17.45554352,0.048475351,48790.00781,50152.45703,1719.287476
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-3502-S0,16S,UNKNOWN,SYBR,17.47125053,17.45554352,0.048475351,49583.19141,50152.45703,1719.287476
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-3502-S0,16S,UNKNOWN,SYBR,17.4011631,17.45554352,0.048475351,52084.18359,50152.45703,1719.287476
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-3502-S1,16S,UNKNOWN,SYBR,16.93592644,16.92536163,0.036942188,72205.10938,72759.03906,1896.653442
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-3502-S1,16S,UNKNOWN,SYBR,16.88428879,16.92536163,0.036942188,74870.98438,72759.03906,1896.653442
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-3502-S1,16S,UNKNOWN,SYBR,16.95587158,16.92536163,0.036942188,71201.01563,72759.03906,1896.653442
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-3502-S2,16S,UNKNOWN,SYBR,16.88496971,16.89263344,0.020674352,74835.19531,74438.78125,1076.741577
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-3502-S2,16S,UNKNOWN,SYBR,16.91604614,16.89263344,0.020674352,73220.03125,74438.78125,1076.741577
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-3502-S2,16S,UNKNOWN,SYBR,16.87688637,16.89263344,0.020674352,75261.125,74438.78125,1076.741577
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-3502-S3,16S,UNKNOWN,SYBR,16.20143318,16.17843628,0.027968112,120929.6953,122913.8516,2422.970215
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-3502-S3,16S,UNKNOWN,SYBR,16.18657684,16.17843628,0.027968112,122197.6953,122913.8516,2422.970215
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-3502-S3,16S,UNKNOWN,SYBR,16.14730263,16.17843628,0.027968112,125614.1875,122913.8516,2422.970215
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-3502-S4,16S,UNKNOWN,SYBR,18.79490662,18.7804451,0.023653081,19575.78906,19777.39063,329.9976501
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-3502-S4,16S,UNKNOWN,SYBR,18.75314903,18.7804451,0.023653081,20158.2207,19777.39063,329.9976501
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-3502-S4,16S,UNKNOWN,SYBR,18.79327965,18.7804451,0.023653081,19598.16406,19777.39063,329.9976501
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-3502-S5,16S,UNKNOWN,SYBR,20.0508728,20.11938095,0.065327674,8104.838867,7729.649902,355.7189026
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-3502-S5,16S,UNKNOWN,SYBR,20.12629128,20.11938095,0.065327674,7686.833008,7729.649902,355.7189026
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-3502-S5,16S,UNKNOWN,SYBR,20.18097878,20.11938095,0.065327674,7397.276855,7729.649902,355.7189026
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-4119-S0,16S,UNKNOWN,SYBR,28.9985714,28.99294281,0.008615,15.14856815,15.20874405,0.092148989
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-4119-S0,16S,UNKNOWN,SYBR,28.9830246,28.99294281,0.008615,15.31482983,15.20874405,0.092148989
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-4119-S0,16S,UNKNOWN,SYBR,28.99723053,28.99294281,0.008615,15.16283607,15.20874405,0.092148989
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-4119-S1,16S,UNKNOWN,SYBR,26.9894619,27.00615883,0.064739324,62.08666992,61.40507507,2.767429113
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-4119-S1,16S,UNKNOWN,SYBR,27.07761192,27.00615883,0.064739324,58.36053467,61.40507507,2.767429113
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-4119-S1,16S,UNKNOWN,SYBR,26.95140457,27.00615883,0.064739324,63.76802444,61.40507507,2.767429113
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-4119-S2,16S,UNKNOWN,SYBR,17.49038124,17.47573853,0.024154769,48921.64844,49431.95313,842.3835449
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-4119-S2,16S,UNKNOWN,SYBR,17.48897552,17.47573853,0.024154769,48969.95703,49431.95313,842.3835449
,,,,,,,,,,
20140506_16S_ATR_data.tmp,IT-4119-S2,16S,UNKNOWN,SYBR,17.44785881,17.47573853,0.024154769,50404.25391,49431.95313,842.3835449
,,,,,,,,,,
20140506_16S_ATR_data.tmp,quantity control sample,16S,UNKNOWN,SYBR,15.52618122,15.64560223,0.159426391,194282.5625,179389.9219,19489.82422
,,,,,,,,,,
20140506_16S_ATR_data.tmp,quantity control sample,16S,UNKNOWN,SYBR,15.58398438,15.64560223,0.159426391,186555.5781,179389.9219,19489.82422
,,,,,,,,,,
20140506_16S_ATR_data.tmp,quantity control sample,16S,UNKNOWN,SYBR,15.82664204,15.64560223,0.159426391,157331.6094,179389.9219,19489.82422
,,,,,,,,,,
20140506_16S_ATR_data.tmp,RM-3704-S3,16S,UNKNOWN,SYBR,23.2477684,23.2663269,0.016302502,858.8800049,847.798645,9.731942177
,,,,,,,,,,
20140506_16S_ATR_data.tmp,RM-3704-S3,16S,UNKNOWN,SYBR,23.27833939,23.2663269,0.016302502,840.6411743,847.798645,9.731942177
,,,,,,,,,,
20140506_16S_ATR_data.tmp,RM-3704-S3,16S,UNKNOWN,SYBR,23.27287102,23.2663269,0.016302502,843.874939,847.798645,9.731942177
,,,,,,,,,,
20140506_16S_ATR_data.tmp,RM-3704-S4,16S,UNKNOWN,SYBR,24.19104004,24.16329002,0.040474173,442.9001465,451.7362976,12.93491554
,,,,,,,,,,
20140506_16S_ATR_data.tmp,RM-3704-S4,16S,UNKNOWN,SYBR,24.18198204,24.16329002,0.040474173,445.7258606,451.7362976,12.93491554
,,,,,,,,,,
20140506_16S_ATR_data.tmp,RM-3704-S4,16S,UNKNOWN,SYBR,24.11684799,24.16329002,0.040474173,466.5828857,451.7362976,12.93491554
,,,,,,,,,,
20140506_16S_ATR_data.tmp,RM-3704-S5,16S,UNKNOWN,SYBR,23.11635017,23.09063911,0.072626352,941.9006958,959.8959961,49.50671387
,,,,,,,,,,
20140506_16S_ATR_data.tmp,RM-3704-S5,16S,UNKNOWN,SYBR,23.00865555,23.09063911,0.072626352,1015.883423,959.8959961,49.50671387
,,,,,,,,,,
20140506_16S_ATR_data.tmp,RM-3704-S5,16S,UNKNOWN,SYBR,23.14691353,23.09063911,0.072626352,921.9038086,959.8959961,49.50671387
,,,,,,,,,,
20140506_16S_ATR_data.tmp,RM-3704-SD,16S,UNKNOWN,SYBR,24.72539711,24.79198265,0.091238201,304.3457642,290.8377991,18.31413651
,,,,,,,,,,
20140506_16S_ATR_data.tmp,RM-3704-SD,16S,UNKNOWN,SYBR,24.89598083,24.79198265,0.091238201,269.9927368,290.8377991,18.31413651
,,,,,,,,,,
20140506_16S_ATR_data.tmp,RM-3704-SD,16S,UNKNOWN,SYBR,24.75457191,24.79198265,0.091238201,298.1749268,290.8377991,18.31413651
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-1737-s0,16S,UNKNOWN,SYBR,22.39793777,22.43978882,0.03854743,1559.791992,1514.997681,41.16027069
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-1737-s0,16S,UNKNOWN,SYBR,22.44758415,22.43978882,0.03854743,1506.358398,1514.997681,41.16027069
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-1737-s0,16S,UNKNOWN,SYBR,22.47384071,22.43978882,0.03854743,1478.842896,1514.997681,41.16027069
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-1737-s1,16S,UNKNOWN,SYBR,21.86429787,21.83769417,0.023198823,2268.749756,2311.727539,37.48627472
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-1737-s1,16S,UNKNOWN,SYBR,21.82711792,21.83769417,0.023198823,2328.754395,2311.727539,37.48627472
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-1737-s1,16S,UNKNOWN,SYBR,21.82167053,21.83769417,0.023198823,2337.678223,2311.727539,37.48627472
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-1737-s2,16S,UNKNOWN,SYBR,17.89784431,17.88009834,0.037604641,36749.85156,37219.29688,989.7153931
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-1737-s2,16S,UNKNOWN,SYBR,17.83690453,17.88009834,0.037604641,38356.37891,37219.29688,989.7153931
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-1737-s2,16S,UNKNOWN,SYBR,17.90554619,17.88009834,0.037604641,36551.66016,37219.29688,989.7153931
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-173-s0,16S,UNKNOWN,SYBR,13.54165936,13.53604507,0.006078591,782642.1875,785738.25,3354.857178
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-173-s0,16S,UNKNOWN,SYBR,13.53688526,13.53604507,0.006078591,785269.9375,785738.25,3354.857178
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-173-s0,16S,UNKNOWN,SYBR,13.52958965,13.53604507,0.006078591,789302.6875,785738.25,3354.857178
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-173-s1,16S,UNKNOWN,SYBR,18.1485672,18.11148262,0.032204811,30817.9707,31636.27344,710.7297974
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-173-s1,16S,UNKNOWN,SYBR,18.09053993,18.11148262,0.032204811,32099.47656,31636.27344,710.7297974
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-173-s1,16S,UNKNOWN,SYBR,18.09534454,18.11148262,0.032204811,31991.375,31636.27344,710.7297974
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-173-s2,16S,UNKNOWN,SYBR,15.96008492,15.96053791,0.004378737,143260.3281,143215.25,440.1946411
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-173-s2,16S,UNKNOWN,SYBR,15.95640278,15.96053791,0.004378737,143631.1875,143215.25,440.1946411
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-173-s2,16S,UNKNOWN,SYBR,15.96512508,15.96053791,0.004378737,142754.2656,143215.25,440.1946411
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-1922-s0,16S,UNKNOWN,SYBR,26.93587303,26.68026924,0.22142604,64.46721649,77.74393463,11.5025568
,,,,,,,,,,
